Order_ID,Customer_ID,Order_Date,Payment_Method,Shipping_City,Order_Status,Discount_Percentage
O00001,C04329,"2025-07-02 00:00:00",UPI,Bangalore,Returned,20
O00002,C04329,"2025-03-19 00:00:00",Card,Indore,Delivered,5
O00003,C03589,"2025-05-03 00:00:00",UPI,Mumbai,Delivered,5
O00004,C03117,"2025-10-03 00:00:00",Card,Hyderabad,Delivered,10
O00005,C04654,"2025-07-27 00:00:00",UPI,Bangalore,Cancelled,15
O00006,C03748,"2025-07-05 00:00:00",Card,Hyderabad,Delivered,10
O00007,C01950,"2025-01-17 00:00:00","Net Banking",Bangalore,Delivered,20
O00008,C01460,"2025-10-17 00:00:00",Card,Bangalore,Delivered,5
O00009,C04431,"2025-09-11 00:00:00",UPI,Hyderabad,Delivered,10
O00010,C02452,"2025-04-09 00:00:00",Card,Bangalore,Delivered,15
O00011,C04352,"2025-05-27 00:00:00",UPI,Indore,Delivered,5
O00012,C03068,"2025-04-24 00:00:00",COD,Jaipur,Delivered,0
O00013,C04091,"2025-04-07 00:00:00",Card,Mumbai,Delivered,20
O00014,C02989,"2025-11-18 00:00:00",COD,Jaipur,Delivered,10
O00015,C00772,"2025-11-24 00:00:00",COD,Chennai,Delivered,0
O00016,C01112,"2025-12-15 00:00:00",UPI,Chennai,Delivered,25
O00017,C03312,"2025-06-19 00:00:00","Net Banking",Kochi,Delivered,5
O00018,C04407,"2025-11-03 00:00:00",UPI,Ahmedabad,Delivered,10
O00019,C01595,"2025-07-18 00:00:00",Card,Bangalore,Delivered,10
O00020,C02730,"2025-06-26 00:00:00",UPI,Jaipur,Delivered,5
O00021,C01282,"2025-05-04 00:00:00",UPI,Bangalore,Delivered,0
O00022,C03586,"2025-06-06 00:00:00",Card,Chennai,Delivered,15
O00023,C02829,"2025-04-05 00:00:00",UPI,Ahmedabad,Cancelled,5
O00024,C02374,"2025-10-13 00:00:00",UPI,Bangalore,Delivered,15
O00025,C04886,"2025-04-09 00:00:00",UPI,Chennai,Delivered,15
O00026,C00342,"2025-08-23 00:00:00",Card,Indore,Delivered,0
O00027,C04934,"2025-07-09 00:00:00",UPI,Delhi,Delivered,15
O00028,C04724,"2025-10-21 00:00:00",Card,Ahmedabad,Delivered,10
O00029,C02819,"2025-09-30 00:00:00",Card,Delhi,Delivered,5
O00030,C02926,"2025-11-26 00:00:00",Card,Indore,Delivered,10
O00031,C01273,"2025-01-18 00:00:00",UPI,Ahmedabad,Delivered,10
O00032,C00710,"2025-06-23 00:00:00",Card,Lucknow,Delivered,0
O00033,C00739,"2025-11-02 00:00:00",Card,Lucknow,Delivered,10
O00034,C01779,"2025-04-30 00:00:00",Card,Mumbai,Delivered,25
O00035,C04591,"2025-09-13 00:00:00",Card,Kochi,Delivered,10
O00036,C04131,"2025-04-06 00:00:00",UPI,Delhi,Delivered,5
O00037,C03719,"2025-11-06 00:00:00",Card,Bangalore,Delivered,10
O00038,C04914,"2025-01-31 00:00:00",UPI,Bangalore,Delivered,15
O00039,C00010,"2025-04-07 00:00:00",UPI,Kolkata,Delivered,0
O00040,C01738,"2025-07-12 00:00:00",UPI,Chennai,Delivered,10
O00041,C02579,"2025-08-21 00:00:00",COD,Delhi,Cancelled,10
O00042,C01559,"2025-02-15 00:00:00",Card,Mumbai,Delivered,5
O00043,C02143,"2025-10-18 00:00:00","Net Banking",Bangalore,Cancelled,15
O00044,C02624,"2025-08-24 00:00:00","Net Banking",Delhi,Delivered,10
O00045,C04001,"2025-02-18 00:00:00","Net Banking",Bangalore,Delivered,15
O00046,C04546,"2025-12-03 00:00:00",UPI,Kochi,Delivered,10
O00047,C02144,"2025-06-11 00:00:00",Card,Kochi,Delivered,15
O00048,C00865,"2025-10-12 00:00:00",Card,Hyderabad,Delivered,10
O00049,C01801,"2025-05-14 00:00:00",Card,Lucknow,Delivered,15
O00050,C03453,"2025-09-14 00:00:00",UPI,Delhi,Delivered,5
O00051,C02717,"2025-07-02 00:00:00",UPI,Indore,Cancelled,20
O00052,C04303,"2025-01-27 00:00:00",Card,Kolkata,Delivered,0
O00053,C01810,"2025-05-20 00:00:00","Net Banking",Ahmedabad,Returned,5
O00054,C04946,"2025-09-17 00:00:00",Card,Kochi,Returned,20
O00055,C04342,"2025-03-21 00:00:00",UPI,Chennai,Delivered,0
O00056,C01998,"2025-06-29 00:00:00","Net Banking",Lucknow,Delivered,20
O00057,C02932,"2025-09-24 00:00:00",UPI,Chennai,Delivered,10
O00058,C02131,"2025-02-21 00:00:00",COD,Ahmedabad,Delivered,5
O00059,C04413,"2025-03-25 00:00:00",COD,Kochi,Delivered,15
O00060,C02693,"2025-06-05 00:00:00",Card,Kochi,Delivered,5
O00061,C03177,"2025-11-24 00:00:00",Card,Indore,Delivered,15
O00062,C02797,"2025-04-14 00:00:00",Card,Indore,Delivered,15
O00063,C04696,"2025-12-12 00:00:00",Card,Lucknow,Delivered,10
O00064,C01556,"2025-04-07 00:00:00",UPI,Kochi,Delivered,15
O00065,C03691,"2025-05-05 00:00:00",Card,Kolkata,Delivered,25
O00066,C04937,"2025-07-02 00:00:00",UPI,Ahmedabad,Delivered,10
O00067,C03573,"2025-11-23 00:00:00",Card,Kochi,Delivered,0
O00068,C04444,"2025-02-23 00:00:00",Card,Chennai,Delivered,15
O00069,C00331,"2025-10-29 00:00:00",UPI,Hyderabad,Delivered,10
