Customer_ID,Customer_Name,Age,Gender,City,State,Signup_Date,Customer_Segment,Acquisition_Channel
C00001,Customer 00001,32,Male,Pune,Maharashtra,2026-01-19,Regular,Social
C00002,Customer 00002,37,Female,Kolkata,West Bengal,2025-12-28,Occasional,Social
C00003,Customer 00003,46,Male,Lucknow,Uttar Pradesh,2024-03-14,Regular,Referral
C00004,Customer 00004,59,Female,Ahmedabad,Gujarat,2025-09-14,Occasional,Paid
C00005,Customer 00005,46,,Chennai,Tamil Nadu,2024-04-12,Occasional,Organic
C00006,Customer 00006,20,Female,Pune,Maharashtra,2026-05-20,Premium,Social
C00007,Customer 00007,36,Male,Kochi,Kerala,2025-08-08,Regular,Referral
C00008,Customer 00008,20,Male,Delhi,Delhi,2025-02-23,Regular,Referral
C00009,Customer 00009,31,Male,Pune,Maharashtra,2025-04-17,Regular,Referral
C00010,Customer 00010,57,Male,Lucknow,Uttar Pradesh,2026-02-02,Regular,Social
C00011,Customer 00011,21,Male,Lucknow,Uttar Pradesh,2024-04-23,Regular,Organic
C00012,Customer 00012,28,Female,Ahmedabad,Gujarat,2025-01-13,Occasional,Organic
C00013,Customer 00013,48,Female,Chennai,Tamil Nadu,2024-11-08,Regular,Referral
C00014,Customer 00014,60,Male,Kolkata,West Bengal,2024-11-25,Occasional,Social
C00015,Customer 00015,49,Male,Ahmedabad,Gujarat,2024-12-04,Occasional,Referral
C00016,Customer 00016,44,Female,Ahmedabad,Gujarat,2024-08-25,Occasional,Paid
C00017,Customer 00017,47,Female,Delhi,Delhi,2024-06-21,Regular,Paid
C00018,Customer 00018,60,Male,Hyderabad,Telangana,2024-03-19,Regular,Referral
C00019,Customer 00019,19,Female,Chennai,Tamil Nadu,2025-04-08,Regular,Referral
C00020,Customer 00020,26,Male,Mumbai,Maharashtra,2026-06-16,Regular,Referral
C00021,Customer 00021,45,Female,Ahmedabad,Gujarat,2025-08-27,Regular,Organic
C00022,Customer 00022,48,Male,Indore,Madhya Pradesh,2025-05-15,Occasional,Social
C00023,Customer 00023,51,Male,Hyderabad,Telangana,2025-07-15,Regular,Paid
C00024,Customer 00024,32,Female,Mumbai,Maharashtra,2024-10-11,Regular,Referral
C00025,Customer 00025,65,Male,Indore,Madhya Pradesh,2024-08-10,Occasional,Organic
C00026,Customer 00026,42,Female,bangalore,Tamil Nadu,2025-08-15,Premium,Paid
C00027,Customer 00027,53,Male,Bangalore,Karnataka,2024-09-22,Regular,Social
C00028,Customer 00028,25,Female,Indore,Madhya Pradesh,2025-10-28,Occasional,Organic
C00029,Customer 00029,26,Female,Kochi,Kerala,2025-01-07,Premium,Paid
C00030,Customer 00030,54,Male,Hyderabad,Telangana,2024-08-20,Regular,Paid
C00031,Customer 00031,65,Female,Indore,Madhya Pradesh,2026-04-07,Regular,Referral
C00032,Customer 00032,62,Female,Jaipur,Rajasthan,2024-08-23,Occasional,Organic
C00033,Customer 00033,56,Female,Bangalore,Karnataka,2025-11-01,Regular,Organic
C00034,Customer 00034,49,Female,Lucknow,Uttar Pradesh,2026-04-07,Regular,Social
C00035,Customer 00035,34,Female,Lucknow,Uttar Pradesh,2026-02-01,Regular,Paid
C00036,Customer 00036,52,Male,Kochi,Kerala,2024-11-09,Regular,Organic
C00037,Customer 00037,54,Male,Indore,Madhya Pradesh,2026-03-23,Regular,Organic
C00038,Customer 00038,36,Female,Indore,Madhya Pradesh,2025-01-14,Regular,Social
C00039,Customer 00039,61,Female,Delhi,Delhi,2026-03-04,Regular,Organic
C00040,Customer 00040,46,Male,Indore,Madhya Pradesh,2025-09-05,Regular,Referral
C00041,Customer 00041,24,Female,Pune,Maharashtra,2025-07-16,Regular,Paid
C00042,Customer 00042,45,Female,Kolkata,West Bengal,2025-02-23,Regular,Social
C00043,Customer 00043,26,Male,Jaipur,Rajasthan,2024-02-21,Regular,Referral
C00044,Customer 00044,45,Male,Delhi,Delhi,2025-12-21,Regular,Referral
C00045,Customer 00045,23,Female,Chennai,Tamil Nadu,2026-03-29,Premium,Organic
C00046,Customer 00046,46,Male,Delhi,Delhi,2025-10-04,Occasional,Social
C00047,Customer 00047,34,Female,Pune,Maharashtra,2025-05-23,Occasional,Paid
C00048,Customer 00048,33,Female,Chennai,Tamil Nadu,2026-02-20,Regular,Social
C00049,Customer 00049,40,Male,Jaipur,Rajasthan,2024-07-23,Regular,Paid
C00050,Customer 00050,48,Male,Pune,Maharashtra,2025-12-31,Regular,Referral
C00051,Customer 00051,20,Male,Mumbai,Maharashtra,2024-09-13,Regular,Organic
C00052,Customer 00052,38,Female,Kolkata,West Bengal,2024-07-03,Regular,Referral
C00053,Customer 00053,43,,Jaipur,Rajasthan,2024-05-24,Premium,Paid
C00054,Customer 00054,53,Male,Indore,Madhya Pradesh,2025-11-20,Occasional,Paid
C00055,Customer 00055,59,,Mumbai,Maharashtra,2024-01-14,Premium,Organic
C00056,Customer 00056,54,Male,Kochi,Kerala,2024-09-02,Regular,Organic
C00057,Customer 00057,39,Male,Jaipur,Rajasthan,2024-07-05,Occasional,Organic
C00058,Customer 00058,59,Male,Kochi,Kerala,2024-12-02,Regular,Paid
C00059,Customer 00059,29,Male,Chennai,Tamil Nadu,2024-09-15,Premium,Social
C00060,Customer 00060,59,Male,Mumbai,Maharashtra,2026-05-15,Occasional,Paid
C00061,Customer 00061,30,Male,Kolkata,West Bengal,2024-02-09,Occasional,Referral
C00062,Customer 00062,28,Female,Indore,Madhya Pradesh,2025-08-23,Occasional,Organic
C00063,Customer 00063,33,Female,Indore,Madhya Pradesh,2025-09-28,Regular,Referral
C00064,Customer 00064,25,Male,Pune,Maharashtra,2025-02-21,Regular,Paid
C00065,Customer 00065,57,Male,bangalore,Madhya Pradesh,2024-12-16,Occasional,Social
C00066,Customer 00066,57,Male,Ahmedabad,Gujarat,2024-01-09,Regular,Social
C00067,Customer 00067,62,Male,Delhi,Delhi,2024-12-15,Occasional,Paid
C00068,Customer 00068,19,Female,Bangalore,Karnataka,2024-03-24,Regular,Referral
C00069,Customer 00069,47,Male,Kolkata,West Bengal,2025-06-16,Regular,Organic
C00070,Customer 00070,47,Male,Mumbai,Maharashtra,2026-03-03,Occasional,Paid
C00071,Customer 00071,29,Male,Ahmedabad,Gujarat,2024-12-23,Regular,Organic
C00072,Customer 00072,27,Male,Kolkata,West Bengal,2025-01-12,Premium,Paid
C00073,Customer 00073,61,Male,Mumbai,Maharashtra,2024-06-20,Regular,Organic
C00074,Customer 00074,28,Female,Hyderabad,Telangana,2024-01-25,Regular,Referral
C00075,Customer 00075,32,Male,bangalore,Telangana,2025-01-27,Premium,Paid
C00076,Customer 00076,33,Male,Kochi,Kerala,2024-04-12,Regular,Referral
C00077,Customer 00077,34,Female,Kolkata,West Bengal,2025-12-02,Regular,Paid
C00078,Customer 00078,43,Female,Hyderabad,Telangana,2024-08-23,Occasional,Organic
C00079,Customer 00079,19,Female,Mumbai,Maharashtra,2025-02-13,Regular,Referral
C00080,Customer 00080,29,Female,Kochi,Kerala,2026-04-04,Occasional,Social
C00081,Customer 00081,43,Male,Indore,Madhya Pradesh,2025-07-02,Regular,Social
C00082,Customer 00082,40,Female,Mumbai,Maharashtra,2026-02-22,Regular,Paid
C00083,Customer 00083,35,Female,Kochi,Kerala,2026-03-15,Premium,Referral
C00084,Customer 00084,49,Male,Kolkata,West Bengal,2024-11-27,Occasional,Referral
C00085,Customer 00085,55,Female,Ahmedabad,Gujarat,2025-10-25,Occasional,Organic
C00086,Customer 00086,64,Female,Pune,Maharashtra,2026-03-04,Occasional,Organic
C00087,Customer 00087,20,Male,Indore,Madhya Pradesh,2025-06-15,Regular,Organic
C00088,Customer 00088,55,Male,Jaipur,Rajasthan,2025-10-10,Regular,Paid
C00089,Customer 00089,20,Male,Ahmedabad,Gujarat,2026-05-20,Occasional,Paid
C00090,Customer 00090,47,Male,Chennai,Tamil Nadu,2024-01-29,Occasional,Social
C00091,Customer 00091,18,Male,Mumbai,Maharashtra,2025-06-26,Occasional,Paid
C00092,Customer 00092,47,Female,Chennai,Tamil Nadu,2024-01-19,Regular,Referral
C00093,Customer 00093,62,Female,Ahmedabad,Gujarat,2024-05-27,Occasional,Referral
C00094,Customer 00094,49,Male,Kochi,Kerala,2025-04-15,Premium,Organic
C00095,Customer 00095,45,Female,Jaipur,Rajasthan,2025-05-05,Regular,Organic
C00096,Customer 00096,38,Male,Indore,Madhya Pradesh,2024-10-09,Premium,Paid
C00097,Customer 00097,63,Male,Indore,Madhya Pradesh,2026-05-11,Regular,Referral
C00098,Customer 00098,30,Female,Indore,Madhya Pradesh,2026-05-02,Occasional,Social
C00099,Customer 00099,44,Female,Jaipur,Rajasthan,2026-03-22,Occasional,Paid
C00100,Customer 00100,53,Female,Bangalore,Karnataka,2025-11-05,Occasional,Social
C00101,Customer 00101,24,Female,Jaipur,Rajasthan,2024-04-22,Regular,Paid
C00102,Customer 00102,39,Female,Pune,Maharashtra,2025-03-30,Regular,Referral
C00103,Customer 00103,27,Female,Jaipur,Rajasthan,2025-10-23,Occasional,Referral
C00104,Customer 00104,56,Male,Ahmedabad,Gujarat,2024-11-25,Regular,Organic
C00105,Customer 00105,32,Female,Bangalore,Karnataka,2024-09-11,Occasional,Organic
C00106,Customer 00106,32,Other,Indore,Madhya Pradesh,2025-08-21,Regular,Organic
C00107,Customer 00107,21,Female,Ahmedabad,Gujarat,2025-02-02,Regular,Paid
C00108,Customer 00108,49,Male,Ahmedabad,Gujarat,2026-05-11,Regular,Referral
C00109,Customer 00109,40,Female,Lucknow,Uttar Pradesh,2025-09-01,Occasional,Organic
C00110,Customer 00110,23,Female,Delhi,Delhi,2025-05-22,Regular,Referral
C00111,Customer 00111,41,Male,Bangalore,Karnataka,2025-10-05,Regular,Organic
C00112,Customer 00112,37,Female,Ahmedabad,Gujarat,2025-04-10,Occasional,Referral
C00113,Customer 00113,54,Male,Delhi,Delhi,2026-04-03,Regular,Referral
C00114,Customer 00114,37,Male,Delhi,Delhi,2025-02-10,Occasional,Referral
C00115,Customer 00115,29,Female,Bangalore,Karnataka,2025-08-31,Regular,Paid
C00116,Customer 00116,50,Male,Lucknow,Uttar Pradesh,2024-04-07,Regular,Organic
C00117,Customer 00117,45,Male,Chennai,Tamil Nadu,2024-10-16,Occasional,Social
C00118,Customer 00118,25,Female,Kochi,Kerala,2026-05-17,Regular,Organic
C00119,Customer 00119,18,Female,Pune,Maharashtra,2026-01-08,Regular,Organic
C00120,Customer 00120,54,Male,Kochi,Kerala,2025-10-18,Regular,Organic
C00121,Customer 00121,39,Other,Jaipur,Rajasthan,2024-06-04,Regular,Referral
C00122,Customer 00122,23,Female,Indore,Madhya Pradesh,2026-02-20,Regular,Referral
C00123,Customer 00123,38,Female,Pune,Maharashtra,2024-06-10,Premium,Referral
C00124,Customer 00124,49,Female,Jaipur,Rajasthan,2025-09-15,Occasional,Paid
C00125,Customer 00125,52,Female,Ahmedabad,Gujarat,2026-04-22,Occasional,Organic
C00126,Customer 00126,32,Male,Indore,Madhya Pradesh,2025-11-27,Regular,Social
C00127,Customer 00127,22,Male,Mumbai,Maharashtra,2025-12-17,Regular,Paid
C00128,Customer 00128,63,Female,Bangalore,Karnataka,2024-04-06,Regular,Paid
C00129,Customer 00129,65,Female,Pune,Maharashtra,2025-01-11,Regular,Referral
C00130,Customer 00130,23,Male,Pune,Maharashtra,2025-07-20,Regular,Organic
C00131,Customer 00131,42,Female,Ahmedabad,Gujarat,2025-03-25,Regular,Organic
C00132,Customer 00132,63,Female,Chennai,Tamil Nadu,2024-04-26,Regular,Paid
C00133,Customer 00133,57,Male,Delhi,Delhi,2025-08-27,Regular,Organic
C00134,Customer 00134,46,Male,Indore,Madhya Pradesh,2026-03-15,Regular,Organic
C00135,Customer 00135,24,Male,Ahmedabad,Gujarat,2025-12-16,Occasional,Social
C00136,Customer 00136,57,Female,Hyderabad,Telangana,2026-03-04,Occasional,Paid
C00137,Customer 00137,30,Male,Lucknow,Uttar Pradesh,2025-05-20,Regular,Paid
C00138,Customer 00138,55,Male,Delhi,Delhi,2024-07-07,Occasional,Referral
C00139,Customer 00139,35,Female,Bangalore,Karnataka,2025-04-20,Regular,Social
C00140,Customer 00140,19,Female,Delhi,Delhi,2024-11-18,Occasional,Organic
C00141,Customer 00141,25,Male,Chennai,Tamil Nadu,2025-08-18,Regular,Social
C00142,Customer 00142,28,Male,Delhi,Delhi,2024-06-28,Occasional,Referral
C00143,Customer 00143,50,Female,Bangalore,Karnataka,2026-02-24,Regular,Organic
C00144,Customer 00144,55,Female,Chennai,Tamil Nadu,2024-06-29,Regular,Organic
C00145,Customer 00145,65,Female,Kochi,Kerala,2025-11-23,Regular,Paid
C00146,Customer 00146,44,Female,Pune,Maharashtra,2026-03-05,Regular,Referral
C00147,Customer 00147,37,Male,Pune,Maharashtra,2024-10-13,Regular,Organic
C00148,Customer 00148,29,Male,Lucknow,Uttar Pradesh,2025-04-19,Regular,Paid
C00149,Customer 00149,60,Male,Jaipur,Rajasthan,2025-09-09,Occasional,Referral
C00150,Customer 00150,48,Male,Kochi,Kerala,2025-10-02,Regular,Paid
C00151,Customer 00151,44,Female,Kochi,Kerala,2024-09-18,Regular,Social
C00152,Customer 00152,49,Male,Indore,Madhya Pradesh,2025-06-06,Regular,Social
C00153,Customer 00153,27,Male,Delhi,Delhi,2024-06-10,Occasional,Paid
C00154,Customer 00154,20,Other,Pune,Maharashtra,2025-05-01,Occasional,Social
C00155,Customer 00155,62,Male,Bangalore,Karnataka,2024-06-29,Occasional,Organic
C00156,Customer 00156,44,Male,Kolkata,West Bengal,2025-12-25,Regular,Organic
C00157,Customer 00157,52,Male,Kolkata,West Bengal,2025-04-13,Regular,Paid
