Campaign_ID,Customer_ID,Campaign_Type,Campaign_Name,Campaign_Date,Sent,Opened,Clicked,Converted,Campaign_Cost
M00001,C03685,Email,Weekend Offer,2025-01-20,1,0,0,0,2.99
M00002,C02423,Email,Loyalty Offer,2025-10-25,1,0,0,0,3.5
M00003,C01133,Email,New Arrival,2025-12-07,1,0,0,0,5.78
M00004,C00555,SMS,Clearance,2025-05-11,1,0,0,0,2.43
M00005,C03354,Social,Loyalty Offer,2025-11-09,1,0,0,0,6.98
M00006,C01955,Email,Weekend Offer,2025-01-28,1,0,0,0,7.49
M00007,C00252,SMS,Clearance,2025-04-04,1,0,0,0,7.9
M00008,C00153,Email,Win Back,2025-01-28,1,1,0,0,6.66
M00009,C03982,SMS,New Arrival,2025-05-14,1,0,0,0,5.01
M00010,C03562,Email,Win Back,2025-06-07,1,1,0,0,1.95
M00011,C02007,SMS,Weekend Offer,2025-03-30,1,1,1,0,2.89
M00012,C03631,Email,Weekend Offer,2025-03-07,1,1,0,0,0.94
M00013,C03479,Push,Weekend Offer,2025-07-07,1,0,0,0,7.05
M00014,C03117,Social,Festive Sale,2025-04-08,1,1,0,0,4.81
M00015,C04972,Social,Festive Sale,2025-02-01,1,1,0,0,4.31
M00016,C03730,Email,New Arrival,2025-12-20,1,0,0,0,7.01
M00017,C01685,SMS,Weekend Offer,2025-01-06,1,0,0,0,0.74
M00018,C04814,SMS,Win Back,2025-03-25,1,0,0,0,1.4
M00019,C04949,Social,New Arrival,2025-04-26,1,1,1,1,4.71
M00020,C04567,SMS,Loyalty Offer,2025-08-23,1,1,1,0,7.93
M00021,C04324,Email,New Arrival,2025-03-17,1,1,1,0,1.7
M00022,C00329,Social,Win Back,2025-12-27,1,0,0,0,1.89
M00023,C03212,Email,Festive Sale,2025-09-21,1,1,0,0,5.74
M00024,C04816,Email,Win Back,2025-06-10,1,1,1,0,1.88
M00025,C03867,Social,Clearance,2025-12-11,1,0,0,0,7.63
M00026,C02872,Push,Weekend Offer,2025-05-04,1,0,0,0,6.15
M00027,C02643,Email,Win Back,2025-09-29,1,0,0,0,4.41
M00028,C00494,Push,Win Back,2025-06-12,1,0,0,0,3.12
M00029,C01464,Social,Win Back,2025-05-26,1,1,0,0,3.56
M00030,C01618,Social,Festive Sale,2025-08-01,1,1,1,0,5.13
M00031,C00636,Email,Festive Sale,2025-02-24,1,0,0,0,4.68
M00032,C01576,Email,Festive Sale,2025-07-09,1,0,0,0,1.75
M00033,C01308,Push,Loyalty Offer,2025-04-21,1,0,0,0,7.59
M00034,C02959,Push,Loyalty Offer,2025-03-11,1,0,0,0,2.99
M00035,C04972,SMS,New Arrival,2025-06-16,1,1,0,0,4.43
M00036,C01414,Email,Weekend Offer,2025-03-06,1,0,0,0,3.38
M00037,C03143,Social,Loyalty Offer,2025-12-01,1,1,0,0,6.26
M00038,C03803,Email,Win Back,2025-04-16,1,0,0,0,1.23
M00039,C04367,Email,Clearance,2025-04-08,1,0,0,0,5.76
M00040,C02520,Social,Festive Sale,2025-03-02,1,0,0,0,5.85
M00041,C04335,Social,Win Back,2025-07-29,1,1,0,0,7.38
M00042,C04996,Push,Clearance,2025-10-31,1,1,1,0,2.26
M00043,C04760,Push,Win Back,2025-03-21,1,0,0,0,7.2
M00044,C02426,Email,Clearance,2025-11-22,1,1,0,0,2.92
M00045,C02923,SMS,Festive Sale,2025-07-06,1,0,0,0,5.41
M00046,C02828,Social,New Arrival,2025-04-12,1,1,0,0,7.61
M00047,C01407,Social,Win Back,2025-12-07,1,1,0,0,6.35
M00048,C03463,Social,Festive Sale,2025-07-08,1,0,0,0,4.03
M00049,C01818,Push,Festive Sale,2025-05-02,1,0,0,0,6.41
M00050,C00094,Push,Win Back,2025-11-27,1,0,0,0,0.76
M00051,C02631,Email,Clearance,2025-04-12,1,1,0,0,1.66
M00052,C04440,SMS,Loyalty Offer,2025-01-18,1,0,0,0,4.44
M00053,C03289,Social,Loyalty Offer,2025-05-20,1,0,1,0,4.61
M00054,C01634,Push,Clearance,2025-07-20,1,1,0,0,5.9
M00055,C01113,Email,Festive Sale,2025-10-05,1,1,0,0,6.08
M00056,C04531,SMS,New Arrival,2025-03-21,1,0,0,0,2.81
M00057,C02177,Social,Festive Sale,2025-06-20,1,0,0,0,5.18
M00058,C00069,SMS,Weekend Offer,2025-08-15,1,1,0,0,1.21
M00059,C02534,Social,Weekend Offer,2025-01-28,1,1,0,0,4.55
M00060,C01713,SMS,Festive Sale,2025-03-31,1,1,0,0,6.16
M00061,C01109,Social,Loyalty Offer,2025-07-23,1,1,0,0,1.7
M00062,C01608,Email,Win Back,2025-11-05,1,1,0,0,6.35
M00063,C01958,Social,Win Back,2025-12-28,1,0,0,0,7.91
M00064,C03850,Social,Clearance,2025-07-23,1,0,0,0,3.72
M00065,C02971,SMS,Loyalty Offer,2025-07-29,1,0,0,0,6.87
M00066,C00224,Social,New Arrival,2025-05-29,1,0,0,0,1.42
M00067,C04737,Email,Win Back,2025-06-24,1,0,0,0,7.83
M00068,C04275,Push,Festive Sale,2025-06-03,1,0,0,0,5.48
M00069,C02011,Email,New Arrival,2025-12-16,1,0,0,0,1.29
M00070,C04611,Email,Festive Sale,2025-12-26,1,0,0,0,3.16
M00071,C01168,Email,Clearance,2025-08-25,1,1,0,0,5.39
M00072,C02979,Social,Clearance,2025-01-01,1,0,0,0,4.56
M00073,C03641,SMS,Festive Sale,2025-12-05,1,1,1,0,3.56
M00074,C00317,Social,Weekend Offer,2025-04-18,1,1,0,0,3.09
M00075,C00491,SMS,New Arrival,2025-12-08,1,1,1,0,2.62
M00076,C01793,Email,Loyalty Offer,2025-07-07,1,1,0,0,3.04
M00077,C03560,SMS,New Arrival,2025-04-19,1,0,0,0,3.55
M00078,C01380,SMS,Loyalty Offer,2025-09-08,1,0,0,0,0.71
M00079,C03345,Email,Festive Sale,2025-08-03,1,0,0,0,5.7
M00080,C00656,SMS,Clearance,2025-02-04,1,0,0,0,1.86
M00081,C02954,Email,New Arrival,2025-06-18,1,0,0,0,3.38
M00082,C02208,Social,Weekend Offer,2025-08-21,1,0,0,0,0.67
M00083,C01627,Email,Loyalty Offer,2025-02-22,1,1,0,0,2.92
M00084,C02771,Push,New Arrival,2025-11-12,1,1,0,0,5.47
M00085,C02938,Email,New Arrival,2025-08-22,1,1,0,0,7.77
M00086,C01486,Push,Win Back,2025-05-08,1,0,0,0,2.34
M00087,C01058,Push,Loyalty Offer,2025-07-08,1,0,0,0,2.43
M00088,C01676,Email,New Arrival,2025-12-13,1,0,0,0,6.78
M00089,C02287,Push,Festive Sale,2025-06-18,1,1,0,0,6.9
M00090,C00237,Email,Loyalty Offer,2025-11-26,1,0,0,0,6.94
M00091,C01491,SMS,Clearance,2025-05-09,1,1,0,0,1.9
M00092,C00214,Email,Festive Sale,2025-06-15,1,1,0,0,5.19
M00093,C04762,SMS,Clearance,2025-02-23,1,0,0,0,4.67
M00094,C00546,Social,New Arrival,2025-04-19,1,0,0,0,6.75
M00095,C01449,Email,Clearance,2025-10-23,1,1,0,0,6.31
M00096,C00584,Push,New Arrival,2025-01-08,1,1,1,0,6.2
M00097,C00702,Email,Festive Sale,2025-11-17,1,0,0,0,1.8
M00098,C00688,Email,New Arrival,2025-07-01,1,0,0,0,1.48
M00099,C04642,Social,Clearance,2025-04-27,1,1,1,0,3.55
M00100,C01295,Social,New Arrival,2025-03-11,1,1,1,1,7.24
M00101,C01668,SMS,Clearance,2025-06-27,1,0,0,0,7.8
M00102,C03942,Push,Festive Sale,2025-02-01,1,0,0,0,2.48
M00103,C03157,SMS,Clearance,2025-02-17,1,0,0,0,3.49
M00104,C00239,Email,Festive Sale,2025-07-19,1,0,0,0,5.32
M00105,C02542,Email,Loyalty Offer,2025-12-29,1,0,0,0,2.87
M00106,C04579,Social,Festive Sale,2025-02-07,1,0,0,0,0.62
M00107,C03552,SMS,Loyalty Offer,2025-11-22,1,1,1,0,3.74
M00108,C03581,Email,New Arrival,2025-06-12,1,0,0,0,4.9
M00109,C04621,Email,Win Back,2025-11-15,1,0,1,0,7.11
M00110,C03901,Push,Festive Sale,2025-10-26,1,1,0,0,6.02
M00111,C01850,Email,New Arrival,2025-07-22,1,1,1,1,3.1
M00112,C03465,Email,Loyalty Offer,2025-02-12,1,0,0,0,6.02
