Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount
I000001,O00001,P0458,1,11252.82,0.2
I000002,O00002,P0457,2,18511.82,0.05
I000003,O00003,P0101,1,13448.78,0.05
I000004,O00004,P0080,3,8081.72,0.1
I000005,O00005,P0456,1,5984.52,0.15
I000006,O00005,P0009,1,10894.67,0.15
I000007,O00005,P0450,2,2255.15,0.15
I000008,O00006,P0117,3,5812.89,0.1
I000009,O00006,P0048,1,881.87,0.1
I000010,O00007,P0370,2,12293.71,0.2
I000011,O00008,P0009,1,10894.67,0.05
I000012,O00009,P0439,1,11309.42,0.1
I000013,O00010,P0014,1,14738.4,0.15
I000014,O00011,P0302,1,10139.5,0.05
I000015,O00012,P0126,1,12590.35,0.0
I000016,O00012,P0022,2,16227.09,0.0
I000017,O00013,P0258,1,5357.22,0.2
I000018,O00013,P0324,1,2232.66,0.2
I000019,O00013,P0039,1,1954.54,0.2
I000020,O00014,P0005,2,2113.83,0.1
I000021,O00015,P0460,2,1760.09,0.0
I000022,O00015,P0430,2,14535.8,0.0
I000023,O00016,P0387,1,11008.74,0.25
I000024,O00017,P0309,1,879.52,0.05
I000025,O00017,P0331,3,7610.91,0.05
I000026,O00017,P0347,1,207.7,0.05
I000027,O00017,P0267,1,13380.29,0.05
I000028,O00018,P0158,2,9904.7,0.1
I000029,O00019,P0415,1,19105.92,0.1
I000030,O00020,P0175,1,8354.48,0.05
I000031,O00021,P0084,1,10059.02,0.0
I000032,O00022,P0338,1,9789.99,0.15
I000033,O00023,P0004,1,21658.55,0.05
I000034,O00024,P0131,2,2329.3,0.15
I000035,O00024,P0386,1,7920.43,0.15
I000036,O00025,P0173,3,11347.23,0.15
I000037,O00025,P0140,1,23423.37,0.15
I000038,O00026,P0116,1,14318.59,0.0
I000039,O00027,P0155,1,16173.54,0.15
I000040,O00028,P0374,3,20293.37,0.1
I000041,O00029,P0039,2,1954.54,0.05
I000042,O00029,P0160,1,6251.25,0.05
I000043,O00029,P0347,1,207.7,0.05
I000044,O00030,P0057,2,14313.59,0.1
I000045,O00030,P0036,1,22992.46,0.1
I000046,O00031,P0311,1,13470.81,0.1
I000047,O00032,P0390,3,2477.97,0.0
I000048,O00033,P0225,1,925.67,0.1
I000049,O00033,P0494,3,9857.51,0.1
I000050,O00034,P0048,2,881.87,0.25
I000051,O00034,P0453,2,2027.99,0.25
I000052,O00034,P0181,2,6969.81,0.25
I000053,O00034,P0328,2,15667.69,0.25
I000054,O00035,P0141,1,2669.4,0.1
I000055,O00035,P0320,2,22881.56,0.1
I000056,O00036,P0250,2,17490.25,0.05
I000057,O00037,P0081,1,12661.97,0.1
I000058,O00037,P0250,1,17490.25,0.1
I000059,O00038,P0448,1,11150.05,0.15
I000060,O00039,P0292,1,21583.15,0.0
I000061,O00040,P0237,1,13454.07,0.1
I000062,O00041,P0371,3,14987.41,0.1
I000063,O00041,P0274,1,16208.88,0.1
I000064,O00041,P0073,1,14367.83,0.1
I000065,O00042,P0125,1,8357.18,0.05
I000066,O00043,P0123,1,12283.66,0.15
I000067,O00044,P0076,2,12082.97,0.1
I000068,O00045,P0474,2,2142.32,0.15
I000069,O00046,P0140,1,23423.37,0.1
I000070,O00046,P0083,1,7026.05,0.1
I000071,O00046,P0350,2,14181.21,0.1
I000072,O00047,P0347,1,207.7,0.15
I000073,O00047,P0115,1,10805.92,0.15
I000074,O00048,P0412,3,14362.31,0.1
I000075,O00049,P0432,1,1677.91,0.15
I000076,O00049,P0178,1,9447.65,0.15
I000077,O00050,P0113,1,1476.37,0.05
I000078,O00050,P0193,2,3841.48,0.05
I000079,O00051,P0156,1,17438.42,0.2
I000080,O00052,P0247,1,5866.18,0.0
I000081,O00052,P0098,2,18024.33,0.0
I000082,O00052,P0069,2,6827.67,0.0
I000083,O00053,P0337,1,6259.83,0.05
I000084,O00054,P0402,1,5149.65,0.2
I000085,O00054,P0242,1,12806.32,0.2
I000086,O00055,P0490,1,17879.27,0.0
I000087,O00055,P0283,4,10933.03,0.0
I000088,O00056,P0052,2,22717.29,0.2
I000089,O00056,P0059,2,7497.65,0.2
I000090,O00057,P0305,3,5268.03,0.1
I000091,O00057,P0197,1,5628.38,0.1
I000092,O00057,P0094,1,6917.65,0.1
I000093,O00058,P0167,1,2741.53,0.05
I000094,O00059,P0226,2,1989.2,0.15
I000095,O00060,P0231,1,5606.43,0.05
I000096,O00060,P0181,1,6969.81,0.05
I000097,O00061,P0057,1,14313.59,0.15
I000098,O00062,P0162,1,11199.84,0.15
I000099,O00063,P0108,1,11560.22,0.1
I000100,O00064,P0360,4,4434.75,0.15
I000101,O00064,P0391,2,16675.09,0.15
I000102,O00065,P0154,1,13970.67,0.25
I000103,O00066,P0479,1,2007.3,0.1
I000104,O00067,P0305,1,5268.03,0.0
I000105,O00067,P0470,2,16384.1,0.0
I000106,O00067,P0363,1,11446.48,0.0
I000107,O00068,P0325,2,883.29,0.15
I000108,O00069,P0259,1,9091.06,0.1
I000109,O00069,P0030,3,18850.92,0.1
I000110,O00070,P0304,2,5766.34,0.1
I000111,O00071,P0432,1,1677.91,0.1
I000112,O00072,P0089,1,21527.82,0.15
I000113,O00073,P0326,1,1200.34,0.1
I000114,O00074,P0448,2,11150.05,0.05
I000115,O00074,P0199,2,13045.06,0.05
I000116,O00075,P0162,5,11199.84,0.15
I000117,O00076,P0449,2,3785.19,0.15
I000118,O00076,P0314,1,5199.64,0.15
I000119,O00076,P0413,1,4516.32,0.15
I000120,O00076,P0241,1,9473.89,0.15
I000121,O00077,P0190,4,4813.84,0.0
I000122,O00077,P0465,2,7131.53,0.0
I000123,O00078,P0427,1,2376.46,0.05
I000124,O00079,P0264,3,11827.53,0.25
I000125,O00080,P0178,2,9447.65,0.0
I000126,O00080,P0305,1,5268.03,0.0
I000127,O00080,P0234,1,6819.79,0.0
I000128,O00080,P0204,1,3139.42,0.0
I000129,O00081,P0274,1,16208.88,0.05
I000130,O00081,P0469,1,12828.28,0.05
I000131,O00082,P0217,2,2504.14,0.1
I000132,O00082,P0220,1,4537.91,0.1
I000133,O00083,P0032,3,12721.46,0.05
I000134,O00084,P0438,1,9736.72,0.15
I000135,O00085,P0072,1,8074.69,0.05
I000136,O00085,P0026,1,8043.88,0.05
I000137,O00085,P0336,1,5532.6,0.05
I000138,O00085,P0118,1,11312.75,0.05
I000139,O00086,P0395,1,16050.27,0.1
I000140,O00086,P0194,1,4785.07,0.1
I000141,O00087,P0313,1,15225.55,0.3
I000142,O00088,P0119,1,14136.98,0.05
I000143,O00088,P0214,1,3598.9,0.05
I000144,O00088,P0316,1,18765.5,0.05
I000145,O00089,P0339,2,8938.6,0.0
I000146,O00090,P0011,3,6896.23,0.15
I000147,O00091,P0390,2,2477.97,0.1
I000148,O00091,P0134,1,8950.35,0.1
I000149,O00092,P0038,2,13981.96,0.1
I000150,O00093,P0296,1,10086.41,0.2
I000151,O00094,P0167,1,2741.53,0.0
I000152,O00094,P0454,1,13398.41,0.0
I000153,O00095,P0188,1,6865.34,0.1
I000154,O00096,P0060,3,10597.6,0.05
I000155,O00097,P0479,1,2007.3,0.0
I000156,O00097,P0347,3,207.7,0.0
I000157,O00098,P0367,3,14116.53,0.1
I000158,O00099,P0154,1,13970.67,0.25
I000159,O00099,P0110,1,239.19,0.25
I000160,O00100,P0212,3,15959.35,0.15
I000161,O00101,P0055,1,18288.33,0.05
I000162,O00102,P0043,3,230.23,0.1
I000163,O00103,P0258,1,5357.22,0.15
I000164,O00104,P0346,2,17166.81,0.05
I000165,O00105,P0453,1,2027.99,0.05
I000166,O00106,P0334,1,5599.91,0.05
I000167,O00107,P0480,1,12036.43,0.1
I000168,O00107,P0346,1,17166.81,0.1
I000169,O00107,P0302,1,10139.5,0.1
I000170,O00108,P0147,3,5903.16,0.0
I000171,O00109,P0271,2,10464.94,0.1
I000172,O00109,P0223,1,12111.39,0.1
I000173,O00109,P0188,3,6865.34,0.1
I000174,O00110,P0012,1,9210.89,0.2
I000175,O00110,P0419,1,11206.88,0.2
I000176,O00110,P0367,3,14116.53,0.2
I000177,O00111,P0467,2,7857.91,0.15
I000178,O00111,P0221,1,9748.25,0.15
I000179,O00111,P0473,1,731.76,0.15
I000180,O00112,P0066,1,4602.72,0.15
I000181,O00113,P0289,4,5068.21,0.05
I000182,O00114,P0117,2,5812.89,0.15
I000183,O00114,P0265,1,16102.0,0.15
I000184,O00115,P0232,1,14966.59,0.25
I000185,O00116,P0403,5,10949.03,0.05
I000186,O00116,P0445,1,5378.95,0.05
I000187,O00116,P0312,1,8312.33,0.05
I000188,O00117,P0240,4,16345.25,0.2
I000189,O00118,P0474,2,2142.32,0.2
I000190,O00118,P0372,2,5715.65,0.2
I000191,O00119,P0303,1,15132.39,0.25
I000192,O00120,P0231,1,5606.43,0.05
I000193,O00120,P0255,2,2178.42,0.05
I000194,O00121,P0134,3,8950.35,0.25
I000195,O00122,P0023,1,8677.28,0.0
I000196,O00122,P0434,2,15961.32,0.0
I000197,O00122,P0197,1,5628.38,0.0
I000198,O00122,P0472,2,6339.28,0.0
I000199,O00123,P0443,1,3024.24,0.0
I000200,O00123,P0333,2,16891.72,0.0
I000201,O00124,P0255,1,2178.42,0.0
