Order_ID,Customer_ID,Order_Date,Payment_Method,Shipping_City,Order_Status,Discount_Percentage
O00001,C04329,2025-07-02,UPI,Bangalore,Returned,20.0
O00002,C04329,2025-03-19,Card,Indore,Delivered,5.0
O00003,C03589,2025-05-03,UPI,Mumbai,Delivered,5.0
O00004,C03117,2025-10-03,Card,Hyderabad,Delivered,10.0
O00005,C04654,2025-07-27,UPI,Bangalore,Cancelled,15.0
O00006,C03748,2025-07-05,Card,Hyderabad,Delivered,10.0
O00007,C01950,2025-01-17,Net Banking,Bangalore,Delivered,20.0
O00008,C01460,2025-10-17,Card,Bangalore,Delivered,5.0
O00009,C04431,2025-09-11,UPI,Hyderabad,Delivered,10.0
O00010,C02452,2025-04-09,Card,Bangalore,Delivered,15.0
O00011,C04352,2025-05-27,UPI,Indore,Delivered,5.0
O00012,C03068,2025-04-24,COD,Jaipur,Delivered,0.0
O00013,C04091,2025-04-07,Card,Mumbai,Delivered,20.0
O00014,C02989,2025-11-18,COD,Jaipur,Delivered,10.0
O00015,C00772,2025-11-24,COD,Chennai,Delivered,0.0
O00016,C01112,2025-12-15,UPI,Chennai,Delivered,25.0
O00017,C03312,2025-06-19,Net Banking,Kochi,Delivered,5.0
O00018,C04407,2025-11-03,UPI,Ahmedabad,Delivered,10.0
O00019,C01595,2025-07-18,Card,Bangalore,Delivered,10.0
O00020,C02730,2025-06-26,UPI,Jaipur,Delivered,5.0
O00021,C01282,2025-05-04,UPI,Bangalore,Delivered,0.0
O00022,C03586,2025-06-06,Card,Chennai,Delivered,15.0
O00023,C02829,2025-04-05,UPI,Ahmedabad,Cancelled,5.0
O00024,C02374,2025-10-13,UPI,Bangalore,Delivered,15.0
O00025,C04886,2025-04-09,UPI,Chennai,Delivered,15.0
O00026,C00342,2025-08-23,Card,Indore,Delivered,0.0
O00027,C04934,2025-07-09,UPI,Delhi,Delivered,15.0
O00028,C04724,2025-10-21,Card,Ahmedabad,Delivered,10.0
O00029,C02819,2025-09-30,Card,Delhi,Delivered,5.0
O00030,C02926,2025-11-26,Card,Indore,Delivered,10.0
O00031,C01273,2025-01-18,UPI,Ahmedabad,Delivered,10.0
O00032,C00710,2025-06-23,Card,Lucknow,Delivered,0.0
O00033,C00739,2025-11-02,Card,Lucknow,Delivered,10.0
O00034,C01779,2025-04-30,Card,Mumbai,Delivered,25.0
O00035,C04591,2025-09-13,Card,Kochi,Delivered,10.0
O00036,C04131,2025-04-06,UPI,Delhi,Delivered,5.0
O00037,C03719,2025-11-06,Card,Bangalore,Delivered,10.0
O00038,C04914,2025-01-31,UPI,Bangalore,Delivered,15.0
O00039,C00010,2025-04-07,UPI,Kolkata,Delivered,0.0
O00040,C01738,2025-07-12,UPI,Chennai,Delivered,10.0
O00041,C02579,2025-08-21,COD,Delhi,Cancelled,10.0
O00042,C01559,2025-02-15,Card,Mumbai,Delivered,5.0
O00043,C02143,2025-10-18,Net Banking,Bangalore,Cancelled,15.0
O00044,C02624,2025-08-24,Net Banking,Delhi,Delivered,10.0
O00045,C04001,2025-02-18,Net Banking,Bangalore,Delivered,15.0
O00046,C04546,2025-12-03,UPI,Kochi,Delivered,10.0
O00047,C02144,2025-06-11,Card,Kochi,Delivered,15.0
O00048,C00865,2025-10-12,Card,Hyderabad,Delivered,10.0
O00049,C01801,2025-05-14,Card,Lucknow,Delivered,15.0
O00050,C03453,2025-09-14,UPI,Delhi,Delivered,5.0
O00051,C02717,2025-07-02,UPI,Indore,Cancelled,20.0
O00052,C04303,2025-01-27,Card,Kolkata,Delivered,0.0
O00053,C01810,2025-05-20,Net Banking,Ahmedabad,Returned,5.0
O00054,C04946,2025-09-17,Card,Kochi,Returned,20.0
O00055,C04342,2025-03-21,UPI,Chennai,Delivered,0.0
O00056,C01998,2025-06-29,Net Banking,Lucknow,Delivered,20.0
O00057,C02932,2025-09-24,UPI,Chennai,Delivered,10.0
O00058,C02131,2025-02-21,COD,Ahmedabad,Delivered,5.0
O00059,C04413,2025-03-25,COD,Kochi,Delivered,15.0
O00060,C02693,2025-06-05,Card,Kochi,Delivered,5.0
O00061,C03177,2025-11-24,Card,Indore,Delivered,15.0
O00062,C02797,2025-04-14,Card,Indore,Delivered,15.0
O00063,C04696,2025-12-12,Card,Lucknow,Delivered,10.0
O00064,C01556,2025-04-07,UPI,Kochi,Delivered,15.0
O00065,C03691,2025-05-05,Card,Kolkata,Delivered,25.0
O00066,C04937,2025-07-02,UPI,Ahmedabad,Delivered,10.0
O00067,C03573,2025-11-23,Card,Kochi,Delivered,0.0
O00068,C04444,2025-02-23,Card,Chennai,Delivered,15.0
O00069,C00331,2025-10-29,UPI,Hyderabad,Delivered,10.0
O00070,C04706,2025-06-13,COD,Bangalore,Delivered,10.0
O00071,C01945,2025-05-29,Card,Jaipur,Delivered,10.0
O00072,C04840,2025-10-17,Card,Kolkata,Delivered,15.0
O00073,C03959,2025-03-28,UPI,Bangalore,Delivered,10.0
O00074,C04665,2025-06-11,Card,Pune,Returned,5.0
O00075,C01685,2025-06-17,UPI,Kochi,Delivered,15.0
O00076,C02437,2025-05-15,UPI,Kolkata,Delivered,15.0
O00077,C00971,2025-03-31,UPI,Chennai,Delivered,0.0
O00078,C00747,2025-11-04,UPI,Lucknow,Delivered,5.0
O00079,C02185,2025-11-01,Card,Pune,Delivered,25.0
O00080,C01385,2025-03-22,Card,Pune,Delivered,0.0
O00081,C04031,2025-12-17,Card,Jaipur,Delivered,5.0
O00082,C01019,2025-08-19,Card,Jaipur,Returned,10.0
O00083,C02579,2025-03-30,COD,Pune,Delivered,5.0
O00084,C04112,2025-10-20,UPI,Indore,Delivered,15.0
O00085,C04664,2025-01-02,Card,Kochi,Delivered,5.0
O00086,C03941,2025-12-18,COD,Jaipur,Delivered,10.0
O00087,C02025,2025-08-10,UPI,Chennai,Delivered,30.0
O00088,C01543,2025-01-17,Card,Mumbai,Delivered,5.0
O00089,C02712,2025-07-15,Card,Jaipur,Delivered,0.0
O00090,C03047,2025-04-30,UPI,Hyderabad,Delivered,15.0
O00091,C01455,2025-08-30,UPI,Hyderabad,Cancelled,10.0
O00092,C03004,2025-06-23,COD,Jaipur,Delivered,10.0
O00093,C01703,2025-02-01,Card,Bangalore,Delivered,20.0
O00094,C04421,2025-10-02,UPI,Mumbai,Delivered,0.0
O00095,C03874,2025-07-14,COD,Lucknow,Delivered,10.0
O00096,C00122,2025-01-04,COD,Delhi,Returned,5.0
O00097,C01477,2025-10-08,UPI,Bangalore,Delivered,0.0
O00098,C00266,2025-01-21,Card,Kolkata,Delivered,10.0
O00099,C00028,2025-08-26,Card,Mumbai,Returned,25.0
O00100,C02125,2025-04-03,UPI,Delhi,Delivered,15.0
O00101,C00432,2025-03-30,Card,Indore,Delivered,5.0
O00102,C04975,2025-04-23,UPI,Ahmedabad,Delivered,10.0
O00103,C03778,2025-08-09,UPI,Lucknow,Delivered,15.0
O00104,C04532,2025-04-08,UPI,Kolkata,Delivered,5.0
O00105,C01086,2025-05-22,Net Banking,Jaipur,Delivered,5.0
O00106,C02095,2025-05-30,COD,Hyderabad,Returned,5.0
O00107,C02486,2025-02-17,Card,Indore,Delivered,10.0
O00108,C00101,2025-02-20,Card,Bangalore,Delivered,0.0
O00109,C02155,2025-07-27,UPI,Hyderabad,Delivered,10.0
