Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Selling_Price,Supplier
P0001,Personal Care Product 001,Beauty,Personal Care,7261.27,12680.89,Supplier_B
P0002,Accessories Product 002,Fashion,Accessories,477.94,685.44,Supplier_C
P0003,Personal Care Product 003,Beauty,Personal Care,7634.12,14157.19,Supplier_B
P0004,Furniture Product 004,Home,Furniture,11421.62,21658.55,Supplier_D
P0005,Haircare Product 005,Beauty,Haircare,1042.09,2113.83,Supplier_E
P0006,Organic Product 006,Grocery,Organic,7031.23,12139.02,Supplier_A
P0007,Personal Care Product 007,Beauty,Personal Care,10994.2,20905.26,Supplier_C
P0008,Shoes Product 008,Fashion,Shoes,215.37,404.42,Supplier_B
P0009,Makeup Product 009,Beauty,Makeup,7607.86,10894.67,Supplier_E
P0010,Outdoor Product 010,Sports,Outdoor,5751.34,8507.4,Supplier_C
P0011,Speakers Product 011,Electronics,Speakers,4229.17,6896.23,Supplier_E
P0012,Appliances Product 012,Home,Appliances,7567.68,9210.89,Supplier_D
P0013,Staples Product 013,Grocery,Staples,727.15,1067.21,Supplier_C
P0014,Bags Product 014,Fashion,Bags,9061.45,14738.4,Supplier_B
P0015,Haircare Product 015,Beauty,Haircare,153.31,198.88,Supplier_D
P0016,Haircare Product 016,Beauty,Haircare,3752.54,4929.52,Supplier_C
P0017,Skincare Product 017,Beauty,Skincare,6097.11,9858.5,Supplier_E
P0018,Appliances Product 018,Home,Appliances,4586.56,8521.23,Supplier_D
P0019,Snacks Product 019,Grocery,Snacks,3758.96,7331.38,Supplier_B
P0020,Accessories Product 020,Electronics,Accessories,9986.94,16894.73,Supplier_C
P0021,Fitness Product 021,Sports,Fitness,11224.51,18265.35,Supplier_E
P0022,Staples Product 022,Grocery,Staples,10497.18,16227.09,Supplier_E
P0023,Running Product 023,Sports,Running,6316.93,8677.28,Supplier_D
P0024,Beverages Product 024,Grocery,Beverages,10621.55,14146.9,Supplier_C
P0025,Bags Product 025,Fashion,Bags,11058.25,21151.19,Supplier_E
P0026,Wearables Product 026,Electronics,Wearables,4969.94,8043.88,Supplier_D
P0027,Accessories Product 027,Electronics,Accessories,3473.01,6637.92,Supplier_A
P0028,Appliances Product 028,Home,Appliances,1269.36,2327.59,Supplier_E
P0029,Beverages Product 029,Grocery,Beverages,5801.19,7973.77,Supplier_D
P0030,Haircare Product 030,Beauty,Haircare,11360.93,18850.92,Supplier_A
P0031,Speakers Product 031,Electronics,Speakers,6774.8,10837.07,Supplier_D
P0032,Beverages Product 032,Grocery,Beverages,8043.99,12721.46,Supplier_E
P0033,Haircare Product 033,Beauty,Haircare,1443.32,2436.78,Supplier_A
P0034,Kitchen Product 034,Home,Kitchen,1807.88,3767.39,Supplier_D
P0035,Staples Product 035,Grocery,Staples,5627.23,10869.62,Supplier_C
P0036,Organic Product 036,Grocery,Organic,11420.05,22992.46,Supplier_A
P0037,Clothing Product 037,Fashion,Clothing,4393.34,5389.2,Supplier_D
P0038,Organic Product 038,Grocery,Organic,10542.06,13981.96,Supplier_C
P0039,Shoes Product 039,Fashion,Shoes,1531.43,1954.54,Supplier_A
P0040,Haircare Product 040,Beauty,Haircare,7442.5,10694.19,Supplier_D
P0041,Personal Care Product 041,Beauty,Personal Care,7247.29,11579.02,Supplier_E
P0042,Speakers Product 042,Electronics,Speakers,10332.51,18369.63,Supplier_A
P0043,Kitchen Product 043,Home,Kitchen,139.47,230.23,Supplier_A
P0044,Shoes Product 044,Fashion,Shoes,2360.19,4750.75,Supplier_C
P0045,Wearables Product 045,Electronics,Wearables,2714.28,5553.07,Supplier_D
P0046,Outdoor Product 046,Sports,Outdoor,11404.6,15363.92,Supplier_E
P0047,Accessories Product 047,Electronics,Accessories,1928.95,3795.44,Supplier_C
P0048,Makeup Product 048,Beauty,Makeup,539.85,881.87,Supplier_A
P0049,Running Product 049,Sports,Running,6460.09,10387.8,Supplier_C
P0050,Accessories Product 050,Electronics,Accessories,6389.85,12181.9,Supplier_C
P0051,Snacks Product 051,Grocery,Snacks,10144.16,13023.34,Supplier_C
P0052,Decor Product 052,Home,Decor,11391.43,22717.29,Supplier_A
P0053,Bags Product 053,Fashion,Bags,6508.69,11740.23,Supplier_B
P0054,Snacks Product 054,Grocery,Snacks,11166.93,22196.9,Supplier_C
P0055,Outdoor Product 055,Sports,Outdoor,8729.39,18288.33,Supplier_B
P0056,Appliances Product 056,Home,Appliances,3248.25,5412.25,Supplier_E
P0057,Speakers Product 057,Electronics,Speakers,11148.21,14313.59,Supplier_E
P0058,Snacks Product 058,Grocery,Snacks,8042.57,10856.44,Supplier_E
P0059,Makeup Product 059,Beauty,Makeup,5027.74,7497.65,Supplier_D
P0060,Skincare Product 060,Beauty,Skincare,8194.88,10597.6,Supplier_A
P0061,Decor Product 061,Home,Decor,4875.62,9428.51,Supplier_B
P0062,Haircare Product 062,Beauty,Haircare,1458.79,2140.31,Supplier_D
P0063,Shoes Product 063,Fashion,Shoes,8655.85,17989.43,Supplier_B
P0064,Appliances Product 064,Home,Appliances,9906.64,18152.26,Supplier_A
P0065,Appliances Product 065,Home,Appliances,8772.79,11896.67,Supplier_C
P0066,Makeup Product 066,Beauty,Makeup,2826.46,4602.72,Supplier_D
P0067,Appliances Product 067,Home,Appliances,11483.96,18606.26,Supplier_A
P0068,Speakers Product 068,Electronics,Speakers,400.53,658.18,Supplier_D
P0069,Fitness Product 069,Sports,Fitness,4058.96,6827.67,Supplier_E
P0070,Snacks Product 070,Grocery,Snacks,3195.1,3923.76,Supplier_D
P0071,Equipment Product 071,Sports,Equipment,672.7,1222.75,Supplier_C
P0072,Organic Product 072,Grocery,Organic,4928.18,8074.69,Supplier_C
P0073,Haircare Product 073,Beauty,Haircare,7515.07,14367.83,Supplier_B
P0074,Shoes Product 074,Fashion,Shoes,10602.38,20503.04,Supplier_D
